Product Name,Product Price,Product Link,Sustainable,Sustainability Classification
"LG 8 kg 5 Star Inverter Fully Automatic Top Load Washing Machine (T80AJMB1Z.ABMQEIL, Stainless Steel Tub, Middle Black)","₹23,990",/lg-8-kg-5-star-inverter-fully-automatic-top-load-washing-machine-t80ajmb1z-abmqeil-stainless-steel-tub-middle-black-/p/273054,,0
"BAJAJ Pygmy Mini 110mm 3 Blade Rechargeable Personal Fan with 1800 mAh Battery (Silent Operation, Cerulean Blue)",₹950,/bajaj-pygmy-mini-110mm-3-blade-rechargeable-personal-fan-with-1800-mah-battery-silent-operation-cerulean-blue-/p/232310,,0
"Croma 24 Wheel Trolley Stand for Washing  Machine and Refrigerator (CRSH24WWTA867601, Black)","₹1,349",/croma-24-wheel-trolley-stand-for-washing-machine-and-refrigerator-crsh24wwta867601-black-/p/258604,,1
"Blue Star Y Series 5 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Self Diagnosis (Copper Condenser, ID318YKU)","₹35,990",/blue-star-y-series-5-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-self-diagnosis-copper-condenser-id318yku-/p/273742,,1
"SAMSUNG 236 Litres 2 Star Frost Free Double Door Refrigerator with Deodorizer (RT28C3042S8/HL, Elegant Inox)","₹22,690",/samsung-236-litres-2-star-frost-free-double-door-refrigerator-with-deodorizer-rt28c3042s8-hl-elegant-inox-/p/267761,,0
"SAMSUNG 236 Litres 3 Star Frost Free Double Door Convertible Refrigerator with Digital Inverter Compressor with Display (RT28C3733S8/HL, Elegant Inox)","₹25,999",/samsung-236-litres-3-star-frost-free-double-door-convertible-refrigerator-with-digital-inverter-compressor-with-display-rt28c3733s8-hl-elegant-inox-/p/275390,,0
"Croma 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Dust Filter (2024 Model, Copper Condenser, CRLA018IND199454)","₹29,990",/croma-4-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-dust-filter-2024-model-copper-condenser-crla018ind199454-/p/303873,,1
"Croma 8 kg 5 Star Semi Automatic Washing Machine with Magic Filter (CRLW080SMF248602, Black)","₹8,990",/croma-8-kg-5-star-semi-automatic-washing-machine-with-magic-filter-crlw080smf248602-black-/p/300475,,1
"LG 7 kg 5 Star Inverter Fully Automatic Top Load Washing Machine (T70SPSF2Z.ASFQEIL, Auto Balance System, Middle Free Silver)","₹19,990",/lg-7-kg-5-star-inverter-fully-automatic-top-load-washing-machine-t70spsf2z-asfqeil-auto-balance-system-middle-free-silver-/p/265827,,0
"Whirlpool 7.5 kg 5 Star Fully Automatic Top Load Washing Machine (StainWash Pro, 31631, In-built Heater, Grey)","₹17,539",/whirlpool-7-5-kg-5-star-fully-automatic-top-load-washing-machine-stainwash-pro-31631-in-built-heater-grey-/p/304244,,1
"Haier Clean Cool 7 in 1 Convertible 1.5 Ton 3 Star Triple Inverter Split AC with Antimicrobial Protection (2024 Model, Copper Condenser, HSU50C-TQS3BN-INV)","₹31,990",/haier-clean-cool-7-in-1-convertible-1-5-ton-3-star-triple-inverter-split-ac-with-antimicrobial-protection-2024-model-copper-condenser-hsu50c-tqs3bn-inv-/p/304331,,0
"Haier 190 Litres 5 Star Direct Cool Single Door Refrigerator with Diamond Edge Freezing Technology (HRD-2105BIS-P, Inox Steel)","₹16,499",/haier-190-litres-5-star-direct-cool-single-door-refrigerator-with-diamond-edge-freezing-technology-hrd-2105bis-p-inox-steel-/p/268205,,0
"Godrej 5 in 1 Convertible 1 Ton 3 Star Inverter Split AC with Active Carbon Filter (Copper Condenser, SIC 12TTC3 WWA)","₹28,490",/godrej-5-in-1-convertible-1-ton-3-star-inverter-split-ac-with-active-carbon-filter-copper-condenser-sic-12ttc3-wwa-/p/303908,,0
"Croma 183 Litres 2 Star Direct Cool Single Door Refrigerator with Anti-Fungal Door Gasket (CRLR182DCC250509, Rosalind Wine)","₹10,990",/croma-183-litres-2-star-direct-cool-single-door-refrigerator-with-anti-fungal-door-gasket-crlr182dcc250509-rosalind-wine-/p/273623,,1
"LG 260 Litres 2 Star Frost Free Double Door Convertible Refrigerator with Multi Air Flow System (GL-S292RPZY.APZZEB, Shiny Steel)","₹28,190",/lg-260-litres-2-star-frost-free-double-door-convertible-refrigerator-with-multi-air-flow-system-gl-s292rpzy-apzzeb-shiny-steel-/p/224939,,0
"Croma 6 Amps 5 Sockets Surge Protector With Individual Switch (2 Meters, 2 USB Port, CRCP1002, Blue)","₹1,099",/croma-6-amps-5-sockets-surge-protector-with-individual-switch-2-meters-2-usb-port-crcp1002-blue-/p/219516,,1
"Haier 190 Litres 3 Star Direct Cool Single Door Refrigerator with Diamond Edge Freezing Technology (HRD-2103CBS-P, Brushline Silver)","₹14,290",/haier-190-litres-3-star-direct-cool-single-door-refrigerator-with-diamond-edge-freezing-technology-hrd-2103cbs-p-brushline-silver-/p/268203,,0
"Midea 4 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Auto Cleanser (2024 Model, Copper Condenser, MAI18SP3R34F0)","₹31,990",/midea-4-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-auto-cleanser-2024-model-copper-condenser-mai18sp3r34f0-/p/304992,,0
VOLTAS Vectra 4 in 1 Convertible 1.5 Ton 5 Star Inverter Split AC with Anti Dust Filter (Copper Condenser),"₹39,990",/voltas-vectra-4-in-1-convertible-1-5-ton-5-star-inverter-split-ac-with-anti-dust-filter-copper-condenser-/p/268573,,1
"V-GUARD 4 Amps Voltage Stabilizer For Up to 600 Litres Refrigerator + 1 Deep Freezer (135 - 280 V, Fail Safe Circuit Protection, VG 100, Grey)","₹2,115",/v-guard-4-amps-voltage-stabilizer-for-up-to-600-litres-refrigerator-+-1-deep-freezer-135-280-v-fail-safe-circuit-protection-vg-100-grey-/p/268685,,1
"BAJAJ Pygmy Mini 110mm 3 Blade Rechargeable Personal Fan with 1800 mAh Battery (Silent Operation, White Smoke)",₹980,/bajaj-pygmy-mini-110mm-3-blade-rechargeable-personal-fan-with-1800-mah-battery-silent-operation-white-smoke-/p/232311,,1
"Blue Star Y 5 in 1 Convertible 1.5 Ton 5 Star Inverter Split Smart AC with Turbo Cool (2023 Model, Copper Condenser, IC518YNURS)","₹44,490",/blue-star-y-5-in-1-convertible-1-5-ton-5-star-inverter-split-smart-ac-with-turbo-cool-2023-model-copper-condenser-ic518ynurs-/p/304534,,1
"Midea Santis Pro Royal 4 in 1 Convertible 1.5 Ton 5 Star Inverter Split AC with Auto Cleanser (2024 Model, Copper Condenser, MAI18SR5R34W0)","₹36,990",/midea-santis-pro-royal-4-in-1-convertible-1-5-ton-5-star-inverter-split-ac-with-auto-cleanser-2024-model-copper-condenser-mai18sr5r34w0-/p/305005,,0
"LG 7.5 kg 5 Star Inverter Fully Automatic Top Load Washing Machine (T75SKSF1Z.ASFQEIL, TurboDrum, Middle Free Silver)","₹21,900",/lg-7-5-kg-5-star-inverter-fully-automatic-top-load-washing-machine-t75sksf1z-asfqeil-turbodrum-middle-free-silver-/p/235268,,0
"TOSHIBA 7.5 kg 5 Star Inverter Fully Automatic Front Load Washing Machine (TW-BJ85S2-IND(SK), In-Built Heater, Silver)","₹24,490",/toshiba-7-5-kg-5-star-inverter-fully-automatic-front-load-washing-machine-tw-bj85s2-ind-sk-in-built-heater-silver-/p/253128,,0
"SAMSUNG 8 kg 5 Star Fully Automatic Top Load Washing Machine (WA80BG4545BVTL, Diamond Drum, Black Caviar)","₹25,000",/samsung-8-kg-5-star-fully-automatic-top-load-washing-machine-wa80bg4545bvtl-diamond-drum-black-caviar-/p/260722,,1
"BAJAJ Majesty 1000 Watt Dry Iron (German Coating Technology, MajestyDX6, White)",₹560,/bajaj-majesty-1000-watt-dry-iron-german-coating-technology-majestydx6-white-/p/219044,,1
"DAIKIN Standard 1.5 Ton 5 Star Inverter Split AC (Copper Condenser, PM 2.5 Filter, ATKM50UV)","₹43,490",/daikin-standard-1-5-ton-5-star-inverter-split-ac-copper-condenser-pm-2-5-filter-atkm50uv-/p/306495,,0
"Whirlpool IMPRO 192 Litres 3 Star Direct Cool Single Door Refrigerator with Stabilizer Free Operation (215 IMPRO PRM, Steel)","₹14,190",/whirlpool-impro-192-litres-3-star-direct-cool-single-door-refrigerator-with-stabilizer-free-operation-215-impro-prm-steel-/p/270352,,0
"BOSCH 9 kg 5 Star Fully Automatic Front Load Washing Machine (Series 8, WGA1420PIN, Anti Wrinkle Feature, Dark Lake)","₹42,990",/bosch-9-kg-5-star-fully-automatic-front-load-washing-machine-series-8-wga1420pin-anti-wrinkle-feature-dark-lake-/p/303960,,1
"Croma AZ35 35 Litres Personal Air Cooler with Anti-Bacterial Tank (Dust & Mosquito Filter, White)","₹6,499",/croma-az35-35-litres-personal-air-cooler-with-anti-bacterial-tank-dust-mosquito-filter-white-/p/303812,,0
"Carrier Durawhite Pro+ Exi 6 in 1 Convertible 1.5 Ton 3 Star Inverter Split AC with Auto Cleanser (2024 Model, Copper Condenser, CAI18DR3R34F0)","₹34,990",/carrier-durawhite-pro+-exi-6-in-1-convertible-1-5-ton-3-star-inverter-split-ac-with-auto-cleanser-2024-model-copper-condenser-cai18dr3r34f0-/p/304983,,1
"Apple AirTag (Lost Mode, MX532ZM/A, White)","₹2,889",/apple-airtag-lost-mode-mx532zm-a-white-/p/234364,,1
"Crompton Surebreeze Hill Briz 1 Star 1200mm 3 Blade Copper Motor Ceiling Fan (Inverter Technology, Opal White)","₹1,452",/crompton-surebreeze-hill-briz-1-star-1200mm-3-blade-copper-motor-ceiling-fan-inverter-technology-opal-white-/p/302484,,0
VOLTAS Vectra 4 in 1 Convertible 1.3 Ton 5 Star Inverter Split AC with Anti Dust Filter (Copper Condenser),"₹35,990",/voltas-vectra-4-in-1-convertible-1-3-ton-5-star-inverter-split-ac-with-anti-dust-filter-copper-condenser-/p/270263,,0
"BAJAJ Flora 3 Litres Instant Water Geyser (3000 Watts, White)","₹3,050",/bajaj-flora-3-litres-instant-water-geyser-3000-watts-white-/p/186711,,0
"Crompton Energion Hyperjet 5 Star 1200mm 3 Blade BLDC Motor Ceiling Fan with Remote (Inverter Technology, Ivory)","₹2,449",/crompton-energion-hyperjet-5-star-1200mm-3-blade-bldc-motor-ceiling-fan-with-remote-inverter-technology-ivory-/p/303104,,0
"LG 9/5 kg 5 Star Fully Automatic Front Load Washer Dryer(FHD0905STB.ABLQEIL, In-built Heater, Black)","₹52,990",/lg-9-5-kg-5-star-fully-automatic-front-load-washer-dryer-fhd0905stb-ablqeil-in-built-heater-black-/p/274043,,1
"SAMSUNG 7 kg 5 Star Fully Automatic Top Load Washing Machine (WA70BG4441BYTL, Diamond Drum, Lavender Gray)","₹19,500",/samsung-7-kg-5-star-fully-automatic-top-load-washing-machine-wa70bg4441bytl-diamond-drum-lavender-gray-/p/260549,,0
"BOSCH 8 kg Fully Automatic Front Load Washing Machine (Series 6, WGA1320SIN, Auto Stain Removal, Silver)","₹38,990",/bosch-8-kg-fully-automatic-front-load-washing-machine-series-6-wga1320sin-auto-stain-removal-silver-/p/300098,,1
"Crompton Surebreeze Hill Briz 1 Star 1200mm 3 Blade Copper Motor Ceiling Fan (Inverter Technology, Brown)","₹1,458",/crompton-surebreeze-hill-briz-1-star-1200mm-3-blade-copper-motor-ceiling-fan-inverter-technology-brown-/p/302481,,1
"LG 6 in 1 Convertible 1.5 Ton 3 Star Dual Inverter Split AC with Smart Diagnosis System (Copper Condenser, TSQ18MNXEAMLG)","₹36,490",/lg-6-in-1-convertible-1-5-ton-3-star-dual-inverter-split-ac-with-smart-diagnosis-system-copper-condenser-tsq18mnxeamlg-/p/304474,,1
"GM 4 + 1 G-Power Outlet Spike Adaptor (3058, Grey)",₹624,/gm-4-+-1-g-power-outlet-spike-adaptor-3058-grey-/p/195028,,1
"LG 260 Litres 2 Star Frost Free Double Door Refrigerator with Multi Air Flow System (GL-N292DDSY.ADSZEB, Dazzle Steel)","₹25,390",/lg-260-litres-2-star-frost-free-double-door-refrigerator-with-multi-air-flow-system-gl-n292ddsy-adszeb-dazzle-steel-/p/217088,,1
"EUREKA FORBES Super Clean 800W Portable Vacuum Cleaner with Blower Function (Handy & Portable, Red)","₹2,799",/eureka-forbes-super-clean-800w-portable-vacuum-cleaner-with-blower-function-handy-portable-red-/p/198850,,1
"PHILIPS 5000 Series 1900W Cordless Dry Vacuum Cleaner with PowerCyclone 7 Technology (TriActive Nozzle, Magic Purple)","₹11,999",/philips-5000-series-1900w-cordless-dry-vacuum-cleaner-with-powercyclone-7-technology-triactive-nozzle-magic-purple-/p/259150,,1
"EUREKA FORBES LVac Voice Pro Robotic Vacuum Cleaner & Mop with Wi-Fi Connectivity (Smart Voice Control, Black)","₹22,499",/eureka-forbes-lvac-voice-pro-robotic-vacuum-cleaner-mop-with-wi-fi-connectivity-smart-voice-control-black-/p/264289,,0
"White Westinghouse 7.5 kg Semi Automatic Washer with Pulsator Washing Technique (WCS7500, Grey)","₹5,290",/white-westinghouse-7-5-kg-semi-automatic-washer-with-pulsator-washing-technique-wcs7500-grey-/p/300015,,0
"SAMSUNG 7 kg 5 Star Inverter Fully Automatic Front Load Washing Machine (WW70R22EK0X, Eco Bubble Technology, Inox Grey)","₹34,000",/samsung-7-kg-5-star-inverter-fully-automatic-front-load-washing-machine-ww70r22ek0x-eco-bubble-technology-inox-grey-/p/303545,,1
"Croma 6 Amps 3 Way Multiplug (Built-in Surge Protection, CRSP3SPSPA264301, White)",₹179,/croma-6-amps-3-way-multiplug-built-in-surge-protection-crsp3spspa264301-white-/p/253056,,1
"LG 288 Litres 2 Star Frost Free Double Door Convertible Refrigerator with Multi Air Flow (GL-S322SPZY.APZZEB, Shiny Steel)","₹31,990",/lg-288-litres-2-star-frost-free-double-door-convertible-refrigerator-with-multi-air-flow-gl-s322spzy-apzzeb-shiny-steel-/p/263331,,0
"LG 6 in 1 Convertible 1 Ton 3 Star Inverter Split AC with 2 Way Swing (2024 Model, Copper Condenser, TSQ12JNXE)","₹33,990",/lg-6-in-1-convertible-1-ton-3-star-inverter-split-ac-with-2-way-swing-2024-model-copper-condenser-tsq12jnxe-/p/304471,,0
"LG 9kg 5 Star Fully Automatic Front Load Washing Machine (FHV1409Z4M.ABMQEIL, LG ThinQ with Wi-Fi, Middle Black)","₹41,990",/lg-9kg-5-star-fully-automatic-front-load-washing-machine-fhv1409z4m-abmqeil-lg-thinq-with-wi-fi-middle-black-/p/260606,,1
"PHILIPS 1000 Watts Dry Iron (Light Indicator, HI114/28, White)","₹1,159",/philips-1000-watts-dry-iron-light-indicator-hi114-28-white-/p/271334,,1
"Qubo Smart Plug- 16 A Smart Plug (Alexa and Google Assistant Support, HSP10D1001, White)",₹684,/qubo-smart-plug-16-a-smart-plug-alexa-and-google-assistant-support-hsp10d1001-white-/p/270350,,0
"BOSCH 7 kg 5 Star Fully Automatic Front Load Washing Machine (Series 4, WGA12208IN, Anti Stain Program, Black)","₹37,000",/bosch-7-kg-5-star-fully-automatic-front-load-washing-machine-series-4-wga12208in-anti-stain-program-black-/p/308026,,0
"Croma Bracket For Air Conditioner (Powder Coating Process, CRLTACBKAA286301, Grey)",₹699,/croma-bracket-for-air-conditioner-powder-coating-process-crltacbkaa286301-grey-/p/268398,,0
"Croma Bladeless 540 m3/hr Air Delivery Tower Fan (Blade Free Design, White & Black)","₹3,494",/croma-bladeless-540-m3-hr-air-delivery-tower-fan-blade-free-design-white-black-/p/223152,,0
"morphy richards Super Glide 2000 Watt 300ml Steam Iron (Turbo Steam Burst, 500010, Blue)","₹2,199",/morphy-richards-super-glide-2000-watt-300ml-steam-iron-turbo-steam-burst-500010-blue-/p/187882,,1
"Croma 236 Litres 2 Star Frost Free Double Door Refrigerator with Inverter Technology (CRLR236FIC276231, Shining Silver)","₹19,990",/croma-236-litres-2-star-frost-free-double-door-refrigerator-with-inverter-technology-crlr236fic276231-shining-silver-/p/268240,,1
"SAMSUNG 183 Litres 2 Star Direct Cool Single Door Refrigerator with Toughened Glass Shelves (RR20C2412GS/NL, Grey Silver)","₹14,190",/samsung-183-litres-2-star-direct-cool-single-door-refrigerator-with-toughened-glass-shelves-rr20c2412gs-nl-grey-silver-/p/269793,,0
"LG 340 Litres 2 Star Frost Free Double Door Convertible Refrigerator with Multi Air Flow System (GL-S342SPZY, Shiny Steel)","₹35,990",/lg-340-litres-2-star-frost-free-double-door-convertible-refrigerator-with-multi-air-flow-system-gl-s342spzy-shiny-steel-/p/250670,,0
"SAMSUNG 8 kg 5 Star Inverter Fully Automatic Top Load Washing Machine (WA80BG4542BDTL, Diamond Drum, Dark Gray)","₹22,400",/samsung-8-kg-5-star-inverter-fully-automatic-top-load-washing-machine-wa80bg4542bdtl-diamond-drum-dark-gray-/p/274528,,0
"Xiaomi 1300 Watts 160ml Garment Steamer (Ceramic Soleplate, MJGTJ02LF, White)","₹2,299",/xiaomi-1300-watts-160ml-garment-steamer-ceramic-soleplate-mjgtj02lf-white-/p/306834,,0
"DAIKIN Standard Plus 1 Ton 3 Star Inverter Split AC (Copper Condenser, Air Purification Filter, ATKL35UV)","₹32,990",/daikin-standard-plus-1-ton-3-star-inverter-split-ac-copper-condenser-air-purification-filter-atkl35uv-/p/257363,,1
"Croma 6 Amps 3 Sockets Surge Protector With Individual Switch (2 Meters, Child Safety Shutter, CRCP1000, Blue)",₹899,/croma-6-amps-3-sockets-surge-protector-with-individual-switch-2-meters-child-safety-shutter-crcp1000-blue-/p/219514,,1
"PHILIPS 1250 Watts 170ml Steam Iron (Non Stick Golden Soleplate, DST083020, Azure Blue)","₹1,541",/philips-1250-watts-170ml-steam-iron-non-stick-golden-soleplate-dst083020-azure-blue-/p/303822,,0
"Croma 1200W Dry Vacuum Cleaner with Cyclonic Technology (Noise Free Cleaning, Red)","₹4,899",/croma-1200w-dry-vacuum-cleaner-with-cyclonic-technology-noise-free-cleaning-red-/p/241915,,0
"LG 423 Litres 2 Star Frost Free Double Door Convertible Refrigerator with Smart Diagnosis (GL-S422SPZY.DPZZEB, Shiny Steel)","₹45,990",/lg-423-litres-2-star-frost-free-double-door-convertible-refrigerator-with-smart-diagnosis-gl-s422spzy-dpzzeb-shiny-steel-/p/249322,,0
"Whirlpool 7 Kg 5 Star Semi- Automatic Washing Machine with Soak Technology (Ace Supreme Pro, 30298, Wine)","₹10,990",/whirlpool-7-kg-5-star-semi-automatic-washing-machine-with-soak-technology-ace-supreme-pro-30298-wine-/p/269592,,0
"Croma AZ24 24 Litres Personal Air Cooler with Inverter Compatible (Water Level Indicator, White)","₹4,999",/croma-az24-24-litres-personal-air-cooler-with-inverter-compatible-water-level-indicator-white-/p/266565,,1
"SAMSUNG 236 Litres 3 Star Frost Free Double Door Refrigerator with Stabilizer Free Operation (RT28C3053S8/HL, Elegant Inox)","₹24,990",/samsung-236-litres-3-star-frost-free-double-door-refrigerator-with-stabilizer-free-operation-rt28c3053s8-hl-elegant-inox-/p/275391,,0
"Croma 165 Litres 2 Star Direct Cool Single Door Refrigerator with Anti Fungal Gasket (CRLR165DCC250508, PCM Floral)","₹10,790",/croma-165-litres-2-star-direct-cool-single-door-refrigerator-with-anti-fungal-gasket-crlr165dcc250508-pcm-floral-/p/273622,,1
"HAVELLS Royalstar 4 Plus 4 Surge and Spike Guard (AHNKXXB104, Grey)",₹773,/havells-royalstar-4-plus-4-surge-and-spike-guard-ahnkxxb104-grey-/p/217175,,1
"Croma 3 Litres Instant Water Geyser (3000 Watts, CRLH003GYA254201, White)","₹2,999",/croma-3-litres-instant-water-geyser-3000-watts-crlh003gya254201-white-/p/246841,,1
"HAVELLS Instanio 3 Litres Instant Water Geyser (3000 Watts, GHWAIAPWB003, White & Blue)","₹3,499",/havells-instanio-3-litres-instant-water-geyser-3000-watts-ghwaiapwb003-white-blue-/p/211248,,1
"Haier 240 Litres 2 Star Frost Free Double Door Refrigerator with Anti-bacterial Gasket (HEF-252EGS-P, Moon Silver)","₹20,990",/haier-240-litres-2-star-frost-free-double-door-refrigerator-with-anti-bacterial-gasket-hef-252egs-p-moon-silver-/p/271270,,1
"Carrier Ester Pro Exi 6 in 1 Convertible 1.5 Ton 5 Star Inverter Split AC with Auto Cleanser (2024 Model, Copper Condenser, CAI18ES5R34F1)","₹39,990",/carrier-ester-pro-exi-6-in-1-convertible-1-5-ton-5-star-inverter-split-ac-with-auto-cleanser-2024-model-copper-condenser-cai18es5r34f1-/p/305503,,0
"HITACHI IZEN 3400FXL 1.5 Ton 3 Star Inverter Split AC (2024 Model, Copper Condenser, Superfine Mesh Filter, RAS.G318PCBISF)","₹36,490",/hitachi-izen-3400fxl-1-5-ton-3-star-inverter-split-ac-2024-model-copper-condenser-superfine-mesh-filter-ras-g318pcbisf-/p/303798,,1
"Crompton Torpedo 400mm 3 Blade High Speed Torpedo Table Fan (Smooth Oscillation, Black)","₹2,299",/crompton-torpedo-400mm-3-blade-high-speed-torpedo-table-fan-smooth-oscillation-black-/p/251120,,1
